,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,export_poi_name,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe
16,17,CBA,shop,"{'payment:visa': 'yes', 'payment:visa_electron': 'yes', 'payment:contactless': 'yes', 'payment:mastercard_contactless': 'yes', 'shop': 'supermarket', 'payment:cash': 'yes', 'payment:mastercard': 'yes', 'brand': 'CBA', 'payment:maestro': 'yes', 'payment:mastercard_electronic': 'yes'}",https://www.cba.hu,hucbasup,(cba abc|cba),,True,False,True,2000.0,200.0,5.0
17,18,Príma,shop,"{'payment:visa': 'yes', 'payment:visa_electron': 'yes', 'payment:contactless': 'yes', 'payment:mastercard_contactless': 'yes', 'shop': 'convenience', 'payment:cash': 'yes', 'payment:mastercard': 'yes', 'brand': 'Príma', 'payment:maestro': 'yes', 'payment:mastercard_electronic': 'yes'}",https://www.prima.hu,huprimacon,(príma abc|prima abc|príma|prima),,True,False,True,2000.0,200.0,23.0
18,19,Príma,shop,"{'payment:visa': 'yes', 'payment:visa_electron': 'yes', 'payment:contactless': 'yes', 'payment:mastercard_contactless': 'yes', 'shop': 'supermarket', 'payment:cash': 'yes', 'payment:mastercard': 'yes', 'brand': 'Príma', 'payment:maestro': 'yes', 'payment:mastercard_electronic': 'yes'}",https://www.prima.hu,huprimasup,(príma abc|prima abc|príma|prima),,True,False,True,2000.0,200.0,23.0
19,20,MagNet Bank,bank,"{'brand:wikidata': 'Q17379757', 'bic': 'HBWEHUHB', 'ref:vatin': 'HU14413591', 'atm': 'yes', 'contact:fax': '+36 1 428 8889', 'operator': 'MagNet Magyar Közösségi Bank Zrt.', 'operator:addr': '1062 Budapest, Andrássy út 98.', 'brand': 'MagNet Bank', 'air_conditioning': 'yes', 'ref:vatin:hu': '14413591-4-44', 'brand:wikipedia': 'hu:MagNet Bank', 'ref:HU:company': '01 10 046111', 'amenity': 'bank'}",https://www.magnetbank.hu,humagnbank,(magnet bank|magnetbank),,False,False,True,2000.0,200.0,10.0
20,21,Foxpost,vending_machine_parcel_locker_and_mail_in,"{'phone': '+36 1 999 03 69', 'amenity': 'parcel_locker', 'contact:youtube': 'https://www.youtube.com/channel/UC3zt91sNKPimgA32Nmcu97w', 'ref:vatin': 'HU25034644', 'payment:mastercard': 'yes', 'payment:cash': 'no', 'contact:email': 'info@foxpost.hu', 'operator': 'FoxPost Zrt.', 'operator:addr': '3200 Gyöngyös, Batsányi János utca 9.', 'payment:contactless': 'yes', 'brand': 'Foxpost', 'parcel_mail_in': 'yes', 'ref:vatin:hu': '25034644-2-10', 'ref:HU:company': '10 10 020309', 'contact:facebook': 'https://www.facebook.com/foxpostzrt', 'payment:visa': 'yes'}",https://www.foxpost.hu,hufoxpocso,foxpost,(alzabox|alza|dpd|gls|pick pack|postapont),False,False,True,600.0,200.0,20.0
21,22,MagNet Bank ATM,atm,"{'operator': 'MagNet Magyar Közösségi Bank Zrt.', 'brand:wikidata': 'Q17379757', 'amenity': 'atm', 'brand': 'MagNet Bank', 'bic': 'HBWEHUHB', 'ref:vatin:hu': '14413591-4-44', 'ref:vatin': 'HU14413591', 'brand:wikipedia': 'hu:MagNet Bank', 'ref:HU:company': '01 10 046111', 'contact:fax': '+36 1 428 8889', 'operator:addr': '1062 Budapest, Andrássy út 98.'}",https://www.magnetbank.hu,humagnatm,(magnet bank|magnetbank|magnet bank atm|magnet atm),,False,False,True,2000.0,80.0,10.0
22,23,MKB Bank,bank,"{'brand:wikidata': 'Q916185', 'bic': 'MKKBHUHB', 'ref:vatin': 'HU10011922', 'atm': 'yes', 'operator': 'MKB Bank Nyrt.', 'operator:addr': '1056 Budapest, Váci u. 38.', 'brand': 'MKB Bank', 'air_conditioning': 'yes', 'ref:vatin:hu': '10011922-4-44', 'brand:wikipedia': 'hu:MKB Bank', 'ref:HU:company': '01 10 040952', 'amenity': 'bank'}",https://www.mkb.hu,humkbbank,(mkb|mkb bank),(otpbank|otp|otp bank|raiffeisenbank|raiffeisen bank|kh bank|k&h|raiffeisen|budapest bank|takarék bank|takarék),False,False,True,300.0,100.0,40.0
23,24,MKB Bank ATM,atm,"{'operator': 'MKB Bank Nyrt.', 'brand:wikidata': 'Q916185', 'amenity': 'atm', 'brand': 'MKB Bank', 'bic': 'MKKBHUHB', 'ref:vatin:hu': '10011922-4-44', 'operator:addr': '1056 Budapest, Váci u. 38.', 'brand:wikipedia': 'hu:MKB Bank', 'ref:HU:company': '01 10 040952', 'ref:vatin': 'HU10011922', 'air_conditioning': 'yes'}",https://www.mkb.hu,humkbatm,(mkb|mkb bank|mkb bank atm|mkb atm),(otp atm|otp|raiffeisen|raiffeisen atm|kh bank|k&h|budapest bank|takarék bank|takarék),False,False,True,50.0,30.0,10.0
24,25,Mobiliti,charging_station,"{'authentication:app': 'yes', 'amenity': 'charging_station', 'authentication:none': 'yes', 'ref:vatin': 'HU23443486', 'contact:email': 'help@mobiliti.hu', 'operator': 'NKM Mobilitás Kft.', 'operator:addr': '1081 Budapest, II. János Pál pápa tér 20.', 'fee': 'yes', 'ref:vatin:hu': '23443486-2-42', 'contact:website': 'https://www.mobiliti.hu/emobilitas', 'authentication:membership_card': 'yes', 'ref:HU:company': '01-09-965868', 'contact:phone': '+36 62 565 758', 'opening_hours': '24/7', 'parking:fee': 'no'}",https://www.mobiliti.hu,humobilchs,(mobility|e-mobi|emobi|e-töltőpont),(tesla|supercharger|plugee),False,False,True,50.0,30.0,10.0
25,26,Mobil Petrol,fuel,"{'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'operator:addr': '1095 Budapest, Ipar utca 2.', 'payment:mastercard': 'yes', 'fuel:diesel': 'yes', 'payment:maestro': 'yes', 'contact:email': 'info@mpetrol.hu', 'operator': 'MPH Power Zrt.', 'payment:visa': 'yes', 'payment:contactless': 'yes', 'brand': 'Mobil Petrol', 'name': 'Mobil Petrol', 'payment:cash': 'yes', 'contact:facebook': 'https://www.facebook.com/mpetrolofficial/', 'amenity': 'fuel', 'payment:mastercard_electronic': 'yes', 'fuel:octane_95': 'yes'}",http://mpetrol.hu/,humobpefu,(mobil metrol|shell),(mol|shell|avia|lukoil|hunoil),False,False,True,,,
26,27,MOL Bubi,bicycle_rental,"{'operator:wikipedia': 'hu:Budapesti Közlekedési Központ', 'twitter': 'molbubi', 'payment:app': 'yes', 'network:wikidata': 'Q16971969', 'contact:youtube': 'https://www.youtube.com/user/bkkweb', 'contact:phone': '+36 1 325 5255', 'operator:wikidata': 'Q608917', 'charge': '20 HUF/minute', 'contact:email': 'bkk@bkk.hu', 'brand:wikidata': 'Q16971969', 'operator:addr': '1075 Budapest Rumbach Sebestyén utca 19-21.', 'network': 'Bubi', 'operator': 'Budapesti Közlekedési Központ Zrt.', 'brand:wikipedia': 'hu:MOL Bubi', 'network:wikipedia': 'hu:MOL Bubi', 'payment:credit_cards': 'yes', 'brand': 'MOL Bubi', 'contact:facebook': 'https://www.facebook.com/molbubi', 'amenity': 'bicycle_rental', 'contact:instagram': 'https://www.instagram.com/molbubi/', 'fee': 'yes'}",https://molbubi.bkk.hu,hububibir,(mol bubi|bubi),,False,False,False,,,
27,28,MOL Plugee,charging_station,"{'authentication:app': 'yes', 'authentication:none': 'yes', 'ref:vatin': 'HU10625790', 'contact:phone': '+36 1 998 9888', 'contact:email': 'info@molplugee.hu', 'motorcar': 'yes', 'operator': 'MOL Nyrt.', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'brand': 'MOL', 'fee': 'yes', 'ref:vatin:hu': '10625790-4-44', 'contact:website': 'https://molplugee.hu/', 'opening_hours': '24/7', 'ref:HU:company': '01-10-041683', 'amenity': 'charging_station', 'parking:fee': 'no'}",https://molplugee.hu,humolplchs,(mol plugee|plugee),,False,False,True,50.0,30.0,10.0
28,29,OIL!,fuel,"{'operator': 'Mabanaft Hungary Kft.', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'ref:vatin': 'HU12700226', 'payment:mastercard': 'yes', 'payment:cash': 'yes', 'payment:maestro': 'yes', 'fuel:octane_95': 'yes', 'amenity': 'fuel', 'brand:wikidata': 'Q2007561', 'operator:addr': '1016 Budapest, Mészáros utca 58/B', 'payment:contactless': 'yes', 'brand': 'OIL!', 'contact:facebook': 'https://www.facebook.com/OILHungary/', 'ref:vatin:hu': '12700226-2-44', 'brand:wikipedia': 'OIL! Tankstellen', 'ref:HU:company': '01-09-699184', 'fuel:diesel': 'yes', 'payment:visa': 'yes', 'payment:mastercard_electronic': 'yes', 'name': 'OIL!'}",https://www.oil-benzinkutak.hu,huoilfu,(oil|oil!|oil benzinkutak|oil-benzinkutak),(mol|shell|m. petrol|avia|lukoil|hunoil),False,False,True,2000.0,450.0,60.0
29,30,OMV,fuel,"{'brand:operator:addr': '1117 Budapest, Október huszonharmadika utca 6-10 5. emelet 5/A.', 'payment:mastercard_contactless': 'yes', 'contact:youtube': 'https://www.youtube.com/user/omvofficial', 'contact:fax': '+36 1 381 9899', 'payment:mastercard': 'yes', 'amenity': 'fuel', 'payment:maestro': 'yes', 'brand:operator': 'OMV Hungária Kft.', 'brand:wikidata': 'Q168238', 'payment:contactless': 'yes', 'brand:wikipedia': 'en:OMV', 'ref:HU:company': '01-09-071584', 'contact:instagram': 'https://www.instagram.com/omv/', 'fuel:octane_95': 'yes', 'payment:visa_electron': 'yes', 'ref:vatin': 'HU10542925', 'fuel:diesel': 'yes', 'payment:cash': 'yes', 'contact:twitter': 'omv', 'contact:email': 'info.hungary@omv.com', 'ref:vatin:hu': '10542925-2-44', 'payment:visa': 'yes', 'brand': 'OMV', 'air_conditioning': 'yes', 'contact:linkedin': 'https://www.linkedin.com/company/omv', 'contact:facebook': 'https://www.facebook.com/omvmagyarorszag', 'payment:mastercard_electronic': 'yes', 'name': 'OMV'}",https://www.omv.hu,huomvfu,(omv|omw|ömv|ömw|ovm|owm),(mol|shell|m. petrol|avia|lukoil|hunoil),False,False,True,2000.0,450.0,60.0
30,31,Penny Market,shop,"{'payment:mastercard_contactless': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UCSy0KKUrDxVWkx8qicky_pQ', 'payment:mastercard': 'yes', 'payment:maestro': 'yes', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'brand:wikidata': 'Q284688', 'shop': 'supermarket', 'payment:contactless': 'yes', 'brand:wikipedia': 'en:Penny (supermarket)', 'contact:instagram': 'https://www.instagram.com/pennymarkethu', 'payment:visa_electron': 'yes', 'ref:vatin': 'HU10969629', 'payment:cash': 'yes', 'contact:email': 'ugyfelszolgalat@penny.hu', 'internet_access:ssid': 'PENNY FREE WLAN', 'operator': 'Penny Market Kft.', 'payment:visa': 'yes', 'brand': 'Penny Market', 'ref:vatin:hu': '10969629-2-44', 'contact:facebook': 'https://www.facebook.com/PennyMarketMagyarorszag', 'payment:mastercard_electronic': 'yes'}",https://www.penny.hu,hupennysup,penny,,False,False,True,2000.0,200.0,15.0
31,32,Pepco,clothes,"{'payment:maestro': 'yes', 'brand:wikidata': 'Q11815580', 'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:cash': 'yes', 'payment:mastercard': 'yes', 'contact:phone': '+36 1 701 0424', 'contact:linkedin': 'https://www.linkedin.com/company/pepco-poland', 'contact:email': 'ugyfelszolgalat@pepco.eu', 'operator': 'Pepkor Hungary Kft.', 'operator:addr': '1138 Budapest, Váci út 187.', 'payment:contactless': 'yes', 'brand': 'Pepco', 'contact:website': 'https://pepco.hu/', 'shop': 'clothes', 'brand:wikipedia': 'pl:Pepco', 'contact:facebook': 'https://www.facebook.com/pepcohu/', 'payment:mastercard_electronic': 'yes', 'payment:visa': 'yes'}",https://pepco.hu,hupepcoclo,pepco,,False,False,True,2000.0,200.0,5.0
32,33,Rossmann,chemist,"{'payment:mastercard_contactless': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UCmUCPmvMLL3IaXRBtx7-J7Q', 'payment:mastercard': 'yes', 'payment:maestro': 'yes', 'brand:wikidata': 'Q316004', 'shop': 'chemist', 'payment:contactless': 'yes', 'brand:wikipedia': 'de:Dirk Rossmann GmbH', 'contact:instagram': 'https://www.instagram.com/rossmann_hu', 'operator': 'Rossmann Magyarország Kft.', 'payment:visa_electron': 'yes', 'ref:vatin': 'HU11149769', 'payment:cash': 'yes', 'contact:email': 'ugyfelszolgalat@rossmann.hu', 'phone': '+36 29 889-800;+36 70 4692 800', 'operator:addr': '2225 Üllő, Zsaróka út 8.', 'brand': 'Rossmann', 'air_conditioning': 'yes', 'ref:vatin:hu': '11149769-2-44', 'contact:facebook': 'https://www.facebook.com/Rossmann.hu', 'payment:mastercard_electronic': 'yes', 'payment:visa': 'yes'}",https://www.rossmann.hu,hurossmche,rossmann,,False,False,True,2000.0,200.0,3.0
33,34,Sberbank,bank,"{'name:ru': 'Сбербанк', 'brand:wikidata': 'Q17379757', 'brand:ru': 'Сбербанк', 'bic': 'MAVOHUHB', 'ref:vatin': 'HU10776999', 'atm': 'yes', 'operator': 'Sberbank Magyarország Zrt.', 'operator:addr': '1088 Budapest, Rákóczi út 1-3.', 'brand': 'Sberbank', 'air_conditioning': 'yes', 'ref:vatin:hu': '10776999-2-44', 'brand:wikipedia': 'en:Sberbank of Russia', 'ref:HU:company': '01 10 041720', 'amenity': 'bank'}",https://www.sberbank.hu,husberbank,(sber|sberbank),(erste|raiffeisen),False,False,True,300.0,100.0,40.0
34,35,Sberbank ATM,atm,"{'name:ru': 'Сбербанк', 'brand:wikidata': 'Q17379757', 'brand:ru': 'Сбербанк', 'bic': 'MAVOHUHB', 'ref:vatin': 'HU10776999', 'operator': 'Sberbank Magyarország Zrt.', 'operator:addr': '1088 Budapest, Rákóczi út 1-3.', 'brand': 'Sberbank', 'ref:vatin:hu': '10776999-2-44', 'brand:wikipedia': 'en:Sberbank of Russia', 'ref:HU:company': '01 10 041720', 'amenity': 'atm'}",https://www.sberbank.hu,husberatm,(sber|sberbank),,False,False,True,50.0,30.0,10.0
35,36,Shell,fuel,"{'payment:visa_electron': 'yes', 'payment:mastercard_contactless': 'yes', 'loyalty_card': 'yes', 'payment:cash': 'yes', 'payment:mastercard': 'yes', 'amenity': 'fuel', 'payment:maestro': 'yes', 'contact:twitter': 'shell', 'fuel:octane_95': 'yes', 'brand:wikidata': 'Q154950', 'payment:visa': 'yes', 'payment:contactless': 'yes', 'brand': 'Shell', 'air_conditioning': 'yes', 'contact:website': 'https://shell.hu/', 'brand:wikipedia': 'hu:Royal Dutch Shell', 'contact:facebook': 'https://www.facebook.com/ShellMagyarorszag/', 'fuel:diesel': 'yes', 'contact:fax': '+36 1 999 8673', 'payment:mastercard_electronic': 'yes', 'contact:phone': '+36 1 480 1114'}",https://shell.hu,hushellfu,shell,(mol|m. petrol|avia|lukoil|hunoil),False,False,True,2000.0,300.0,60.0
36,37,Spar Expressz,shop,"{'payment:maestro': 'yes', 'payment:mastercard_contactless': 'yes', 'contact:youtube': 'https://www.youtube.com/channel/UC9tu8COHiy4WkeTIN1k_Y8A', 'payment:mastercard': 'yes', 'payment:erzsebet_plus': 'yes', 'payment:erzsebet': 'yes', 'payment:otp_cafeteria': 'yes', 'brand:wikidata': 'Q610492', 'shop': 'convenience', 'payment:contactless': 'yes', 'brand:wikipedia': 'hu:Spar', 'payment:multipay': 'yes', 'payment:v_pay': 'yes', 'payment:unionpay': 'yes', 'contact:instagram': 'https://www.instagram.com/sparmagyarorszag', 'phone': '+36208237727', 'payment:edenred_card': 'yes', 'payment:visa_electron': 'yes', 'payment:otp_bankpont': 'yes', 'payment:cash': 'yes', 'contact:email': 'vevoszolgalat@spar.hu', 'payment:jcb': 'yes', 'operator': 'SPAR Magyarország Kereskedelmi Kft.', 'payment:visa': 'yes', 'brand': 'Spar', 'payment:american_express': 'yes', 'payment:edenred_voucher': 'yes', 'contact:facebook': 'https://www.facebook.com/sparmagyarorszag', 'payment:mastercard_electronic': 'yes'}",https://www.spar.hu,husparecon,(spar|spar express|spar expressz),,False,False,True,2000.0,200.0,15.0
