,pc_id,poi_name,poi_type,poi_tags,poi_url_base,poi_code,poi_search_name,poi_search_avoid_name,preserve_original_name,preserve_original_post_code,osm_search_distance_perfect,osm_search_distance_safe,osm_search_distance_unsafe
10,11,Posta,post_office,"{'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'operator': 'Magyar Posta Zrt.', 'payment:debit_cards': 'yes', 'payment:cash': 'yes', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'contact:email': 'ugyfelszolgalat@posta.hu', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'phone': '+3617678200', 'ref:vatin': 'HU10901232', 'amenity': 'post_office', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'ref:vatin:hu': '10901232-2-44', 'brand': 'Magyar Posta', 'brand:wikidata': 'Q145614'}",https://www.posta.hu,hupostapo,posta,,False,True,2000.0,350.0,220.0
11,12,Posta csekkbefizető automata,vending_machine_cheques,"{'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'vending': 'cheques', 'payment:debit_cards': 'yes', 'payment:cash': 'yes', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'contact:email': 'ugyfelszolgalat@posta.hu', 'amenity': 'vending_machine', 'phone': '+3617678200', 'ref:vatin': 'HU10901232', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'ref:vatin:hu': '10901232-2-44', 'operator': 'Magyar Posta Zrt.', 'brand': 'Magyar Posta', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'brand:wikidata': 'Q145614'}",https://www.posta.hu,hupostacse,posta,,False,False,2000.0,300.0,220.0
12,13,Posta csomagautomata,vending_machine_parcel_pickup,"{'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'vending': 'parcel_pickup', 'payment:debit_cards': 'yes', 'payment:cash': 'yes', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'contact:email': 'ugyfelszolgalat@posta.hu', 'amenity': 'vending_machine', 'phone': '+3617678200', 'ref:vatin': 'HU10901232', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'ref:vatin:hu': '10901232-2-44', 'operator': 'Magyar Posta Zrt.', 'brand': 'Magyar Posta', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'brand:wikidata': 'Q145614'}",https://www.posta.hu,hupostacso,(mpl|posta),,False,False,2000.0,200.0,
13,14,Budapest Bank,bank,"{'operator': 'Budapest Bank Zrt.', 'bic': 'BUDAHUHB', 'operator:addr': '1138 Budapest, Váci út 193.', 'air_conditioning': 'yes', 'ref:vatin': 'HU10196445', 'atm': 'yes', 'ref:HU:company': '01 10 041037', 'brand:wikipedia': 'en:Budapest Bank', 'ref:vatin:hu': '10196445-4-44', 'amenity': 'bank', 'brand': 'Budapest Bank', 'brand:wikidata': 'Q27493463'}",https://www.budapestbank.hu,hubpbank,(budapest bank|bp bank),(otpbank|otp|otp bank),False,False,300.0,100.0,40.0
14,15,PostaPont,post_office,"{'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'operator': 'Magyar Posta Zrt.', 'payment:debit_cards': 'yes', 'payment:cash': 'yes', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'contact:email': 'ugyfelszolgalat@posta.hu', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'phone': '+3617678200', 'ref:vatin': 'HU10901232', 'amenity': 'post_office', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'ref:vatin:hu': '10901232-2-44', 'brand': 'Magyar Posta', 'brand:wikidata': 'Q145614'}",https://www.posta.hu,hupostapp,(postapont|posta),,False,True,2000.0,300.0,220.0
15,16,Budapest Bank ATM,atm,"{'air_conditioning': 'yes', 'operator': 'Budapest Bank Zrt.', 'ref:vatin:hu': '10196445-4-44', 'brand': 'Budapest Bank', 'bic': 'BUDAHUHB', 'operator:addr': '1138 Budapest, Váci út 193.', 'ref:HU:company': '01 10 041037', 'brand:wikipedia': 'en:Budapest Bank', 'brand:wikidata': 'Q27493463', 'ref:vatin': 'HU10196445', 'amenity': 'atm'}",https://www.budapestbank.hu,hubpatm,(budapest bank|budapest bank atm|bp bank|bp bank atm),(otp atm|otp),False,False,50.0,30.0,10.0
16,17,Mobilposta,post_office,"{'contact:youtube': 'https://www.youtube.com/user/magyarpostaofficial', 'contact:instagram': 'https://www.instagram.com/magyar_posta_zrt', 'operator': 'Magyar Posta Zrt.', 'payment:debit_cards': 'yes', 'payment:cash': 'yes', 'contact:facebook': 'https://www.facebook.com/MagyarPosta', 'contact:email': 'ugyfelszolgalat@posta.hu', 'brand:wikipedia': 'hu:Magyar Posta Zrt.', 'phone': '+3617678200', 'ref:vatin': 'HU10901232', 'amenity': 'post_office', 'operator:addr': '1138 Budapest, Dunavirág utca 2-6.', 'ref:vatin:hu': '10901232-2-44', 'brand': 'Magyar Posta', 'brand:wikidata': 'Q145614'}",https://www.posta.hu,hupostamp,posta,,False,False,2000.0,300.0,
17,18,CBA,shop,"{'payment:visa': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:cash': 'yes', 'payment:mastercard': 'yes', 'brand': 'CBA', 'payment:mastercard_contactless': 'yes', 'payment:mastercard_electronic': 'yes', 'shop': 'convenience', 'payment:visa_electron': 'yes'}",https://www.cba.hu,hucbacon,(cba abc|cba),,True,False,2000.0,200.0,5.0
18,19,CBA,shop,"{'payment:visa': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:cash': 'yes', 'payment:mastercard': 'yes', 'brand': 'CBA', 'payment:mastercard_contactless': 'yes', 'payment:mastercard_electronic': 'yes', 'shop': 'supermarket', 'payment:visa_electron': 'yes'}",https://www.cba.hu,hucbasup,(cba abc|cba),,True,False,2000.0,200.0,5.0
19,20,Príma,shop,"{'payment:visa': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:cash': 'yes', 'payment:mastercard': 'yes', 'brand': 'Príma', 'payment:mastercard_contactless': 'yes', 'payment:mastercard_electronic': 'yes', 'shop': 'convenience', 'payment:visa_electron': 'yes'}",https://www.prima.hu,huprimacon,(príma abc|prima abc|príma|prima),,True,False,2000.0,200.0,23.0
20,21,Avia,fuel,"{'contact:youtube': 'https://www.youtube.com/channel/UCjvjkjf2RgmKBuTnKSXk-Rg', 'operator': 'AVIA Hungária Kft.', 'payment:contactless': 'yes', 'payment:cash': 'yes', 'contact:facebook': 'https://www.facebook.com/AVIAHungary', 'contact:email': 'avia@avia.hu', 'amenity': 'fuel', 'fuel:octane_95': 'yes', 'payment:mastercard': 'yes', 'fuel:diesel': 'yes', 'payment:visa': 'yes', 'payment:maestro': 'yes', 'payment:mastercard_contactless': 'yes', 'brand': 'Avia', 'payment:mastercard_electronic': 'yes', 'payment:visa_electron': 'yes'}",https://www.avia.hu,huaviafu,avia,,False,False,30000.0,800.0,110.0
21,22,Príma,shop,"{'payment:visa': 'yes', 'payment:contactless': 'yes', 'payment:maestro': 'yes', 'payment:cash': 'yes', 'payment:mastercard': 'yes', 'brand': 'Príma', 'payment:mastercard_contactless': 'yes', 'payment:mastercard_electronic': 'yes', 'shop': 'supermarket', 'payment:visa_electron': 'yes'}",https://www.prima.hu,huprimasup,(príma abc|prima abc|príma|prima),,True,False,2000.0,200.0,23.0
22,23,e-töltőpont,charging_station,"{'authentication:none': 'yes', 'parking:fee': 'no', 'operator': 'e-Mobi Elektromobilitás Nonprofit Kft.', 'fee': 'yes', 'operator:addr': '1037 Budapest, Montevideo utca 2/C', 'contact:email': 'kapcsolat@e-mobi.hu', 'amenity': 'charging_station', 'alt_name': 'e-mobi', 'authentication:membership_card': 'yes', 'contact:website': 'https://e-mobi.hu/hu', 'ref:vatin:hu': '25539431-2-41', 'contact:phone': '+36 80 210 012', 'opening_hours': '24/7', 'ref:HU:company': '01 09 281052', 'authentication:app': 'yes', 'ref:vatin': 'HU25539431', 'contact:facebook': 'https://www.facebook.com/elektromobilitas'}",https://e-mobi.hu/,huemobichs,(e-mobi|emobi|e-töltőpont),,False,False,50.0,30.0,10.0
23,24,Foxpost,vending_machine_parcel_pickup_and_mail_in,"{'contact:youtube': 'https://www.youtube.com/channel/UC3zt91sNKPimgA32Nmcu97w', 'vending': 'parcel_pickup;parcel_mail_in', 'payment:contactless': 'yes', 'payment:cash': 'no', 'contact:facebook': 'https://www.facebook.com/foxpostzrt', 'contact:email': 'info@foxpost.hu', 'amenity': 'vending_machine', 'phone': '+36 1 999 03 69', 'payment:mastercard': 'yes', 'ref:vatin': 'HU25034644', 'ref:HU:company': '10 10 020309', 'operator:addr': '3200 Gyöngyös, Batsányi János utca 9.', 'ref:vatin:hu': '25034644-2-10', 'brand': 'Foxpost', 'operator': 'FoxPost Zrt.', 'payment:visa': 'yes'}",https://www.foxpost.hu,hufoxpocso,foxpost,,False,False,1000.0,400.0,20.0
24,25,Jysk,furniture,"{'operator': 'JYSK Kft.', 'payment:contactless': 'yes', 'payment:cash': 'yes', 'contact:facebook': 'https://www.facebook.com/JYSK.Magyarorszag/', 'payment:mastercard': 'yes', 'brand:wikipedia': 'hu:JYSK', 'brand:wikidata': 'Q138913', 'ref:vatin': 'HU13353298', 'ref:HU:company': '01 09 730940', 'operator:addr': '1103 Budapest, Sibrik Miklós út 30.', 'shop': 'furniture', 'payment:maestro': 'yes', 'payment:mastercard_contactless': 'yes', 'payment:visa_electron': 'yes', 'payment:mastercard_electronic': 'yes', 'ref:vatin:hu': '13353298-2-44', 'payment:visa': 'yes'}",https://jysk.hu,hujyskfur,jysk,,False,False,800.0,300.0,80.0
25,26,K&H Bank,bank,"{'amenity': 'bank', 'operator': 'K&H Bank Zrt.', 'ref:vatin:hu': '10195664-4-44', 'brand': 'K&H', 'bic': 'OKHBHUHB', 'operator:addr': '1095 Budapest, Lechner Ödön fasor 9.', 'air_conditioning': 'yes', 'ref:vatin': 'HU10195664', 'atm': 'yes', 'ref:HU:company': '01 10 041043'}",https://www.kh.hu,hukhbank,(kh bank|k&h bank|k&h|kh),,False,False,2000.0,200.0,4.0
26,27,K&H Bank ATM,atm,"{'brand': 'K&H', 'operator': 'K&H Bank Zrt.', 'ref:vatin:hu': '10195664-4-44', 'bic': 'OKHBHUHB', 'operator:addr': '1095 Budapest, Lechner Ödön fasor 9.', 'amenity': 'atm', 'ref:vatin': 'HU10195664', 'ref:HU:company': '01 10 041043'}",https://www.kh.hu,hukhatm,(kh bank atm|k&h bank atm|k&h atm|kh atm),,False,False,2000.0,80.0,3.0
27,28,Kulcs Patika,pharmacy,"{'payment:contactless': 'yes', 'payment:visa': 'yes', 'payment:cash': 'yes', 'payment:mastercard': 'yes', 'amenity': 'pharmacy', 'air_conditioning': 'yes', 'dispensing': 'yes', 'payment:mastercard_contactless': 'yes', 'brand': 'Kulcs Patika', 'payment:maestro': 'yes', 'payment:mastercard_electronic': 'yes', 'payment:visa_electron': 'yes'}",https://www.kulcspatika.hu/,hukulcspha,(kulcs patika|kulcs),,True,False,,,
28,29,MagNet Bank,bank,"{'operator': 'MagNet Magyar Közösségi Bank Zrt.', 'bic': 'HBWEHUHB', 'operator:addr': '1062 Budapest, Andrássy út 98.', 'air_conditioning': 'yes', 'ref:vatin': 'HU14413591', 'atm': 'yes', 'ref:HU:company': '01 10 046111', 'contact:fax': '+36 1 428 8889', 'brand:wikipedia': 'hu:MagNet Bank', 'ref:vatin:hu': '14413591-4-44', 'amenity': 'bank', 'brand': 'MagNet Bank', 'brand:wikidata': 'Q17379757'}",https://www.magnetbank.hu,humagnbank,(magnet bank|magnetbank),,False,False,2000.0,200.0,10.0
29,30,MagNet Bank ATM,atm,"{'contact:fax': '+36 1 428 8889', 'amenity': 'atm', 'operator': 'MagNet Magyar Közösségi Bank Zrt.', 'ref:vatin:hu': '14413591-4-44', 'brand': 'MagNet Bank', 'bic': 'HBWEHUHB', 'operator:addr': '1062 Budapest, Andrássy út 98.', 'brand:wikipedia': 'hu:MagNet Bank', 'brand:wikidata': 'Q17379757', 'ref:vatin': 'HU14413591', 'ref:HU:company': '01 10 046111'}",https://www.magnetbank.hu,humagnatm,(magnet bank|magnetbank|magnet bank atm|magnet atm),,False,False,2000.0,80.0,10.0
30,31,Mobiliti,charging_station,"{'authentication:none': 'yes', 'parking:fee': 'no', 'operator': 'NKM Mobilitás Kft.', 'fee': 'yes', 'operator:addr': '1081 Budapest, II. János Pál pápa tér 20.', 'contact:email': 'help@mobiliti.hu', 'contact:website': 'https://www.mobiliti.hu/emobilitas', 'authentication:membership_card': 'yes', 'ref:vatin': 'HU23443486', 'amenity': 'charging_station', 'ref:vatin:hu': '23443486-2-42', 'contact:phone': '+36 62 565 758', 'opening_hours': '24/7', 'ref:HU:company': '01-09-965868', 'authentication:app': 'yes'}",https://www.mobiliti.hu,humobilchs,mobility,tesla,False,False,50.0,30.0,10.0
31,32,Mobil Petrol,fuel,"{'operator': 'MPH Power Zrt.', 'payment:contactless': 'yes', 'payment:cash': 'yes', 'operator:addr': '1095 Budapest, Ipar utca 2.', 'payment:mastercard': 'yes', 'amenity': 'fuel', 'fuel:octane_95': 'yes', 'contact:email': 'info@mpetrol.hu', 'fuel:diesel': 'yes', 'payment:visa': 'yes', 'payment:maestro': 'yes', 'payment:mastercard_contactless': 'yes', 'brand': 'Mobil Petrol', 'payment:mastercard_electronic': 'yes', 'name': 'Mobil Petrol', 'contact:facebook': 'https://www.facebook.com/mpetrolofficial/', 'payment:visa_electron': 'yes'}",http://mpetrol.hu/,humobpefu,(mobil metrol|shell),,False,False,,,
32,33,MOL Bubi,bicycle_rental,"{'brand': 'MOL Bubi', 'operator': 'BKK MOL Bubi', 'contact:facebook': 'https://www.facebook.com/molbubi', 'contact:youtube': 'https://www.youtube.com/user/bkkweb', 'amenity': 'bicycle_rental', 'contact:instagram': 'https://www.instagram.com/molbubi/', 'twitter': 'molbubi', 'network': 'bubi'}",https://molbubi.bkk.hu,hububibir,(mol bubi|bubi),,False,False,,,
33,34,MOL,fuel,"{'contact:instagram': 'https://www.instagram.com/mol.magyarorszag/', 'contact:facebook': 'https://www.facebook.com/mol.magyarorszag/', 'brand:wikipedia': 'hu:MOL Magyar Olaj- és Gázipari Nyrt.', 'contact:youtube': 'https://www.youtube.com/user/molgrouptv', 'ref:vatin:hu': '10625790-4-44', 'payment:maestro': 'yes', 'payment:mastercard_contactless': 'yes', 'brand:wikidata': 'Q549181', 'payment:visa_electron': 'yes', 'operator': 'MOL Nyrt.', 'payment:contactless': 'yes', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'payment:cash': 'yes', 'payment:mastercard': 'yes', 'amenity': 'fuel', 'fuel:octane_95': 'yes', 'fuel:diesel': 'yes', 'ref:HU:company': '01-10-041683', 'air_conditioning': 'yes', 'brand': 'MOL', 'payment:mastercard_electronic': 'yes', 'payment:visa': 'yes'}",https://www.mol.hu,humolfu,mol,,False,False,2000.0,300.0,60.0
34,35,MOL,fuel,"{'contact:youtube': 'https://www.youtube.com/user/molgrouptv', 'contact:instagram': 'https://www.instagram.com/mol.magyarorszag/', 'operator': 'MOL Nyrt.', 'payment:contactless': 'yes', 'waterway': 'fuel', 'operator:addr': '1117 Budapest, Október huszonharmadika utca 18.', 'contact:facebook': 'https://www.facebook.com/mol.magyarorszag/', 'payment:mastercard': 'yes', 'brand:wikipedia': 'hu:MOL Magyar Olaj- és Gázipari Nyrt.', 'brand:wikidata': 'Q549181', 'payment:cash': 'yes', 'ref:HU:company': '01-10-041683', 'payment:visa': 'yes', 'ref:vatin:hu': '10625790-4-44', 'payment:maestro': 'yes', 'payment:mastercard_contactless': 'yes', 'brand': 'MOL', 'payment:mastercard_electronic': 'yes', 'payment:visa_electron': 'yes'}",https://www.mol.hu,humolwfu,mol,,False,False,2000.0,800.0,300.0
